Record,Unique_ID,EQR,P,Exclude_P,N,Exclude_N,BioClass,Group
70,Lake70,0.3,74,0,1762,0,2,HA
71,Lake71,0.66,225,0,7088,0,4,OR
73,Lake73,0.51,67,0,5455,0,3,HA
74,Lake74,0.4,63,0,2919,0,3,HA
75,Lake75,0.32,74,0,2101,0,2,HA
76,Lake76,0.62,49,0,1564,0,4,OR
77,Lake77,0.3,85,0,2850,0,2,HA
78,Lake78,0.54,160,0,1941,0,3,HA
79,Lake79,1.01,23,0,732,0,5,HA
80,Lake80,0.34,98,0,1577,0,2,HA
81,Lake81,0.39,971,0,1751,0,2,HA
82,Lake82,0.51,84,0,3353,0,3,HA
83,Lake83,0.51,473,0,2028,0,3,OR
84,Lake84,0.49,34,0,849,0,3,MA
86,Lake86,0.61,207,0,6234,0,4,HA
88,Lake88,0.79,38,0,2735,0,4,HA
89,Lake89,0.66,70,0,2755,0,4,HA
91,Lake91,0.48,106,0,3220,0,3,HA
92,Lake92,0.52,179,0,2479,0,3,HA
93,Lake93,0.47,37,0,1839,0,3,HA
94,Lake94,0.53,149,0,2117,0,3,HA
95,Lake95,0.49,257,0,4821,0,3,HA
96,Lake96,0.5,71,0,,0,3,HA
97,Lake97,0.4,81,0,4077,0,2,HA
98,Lake98,0.69,627,0,1133,0,4,HA
99,Lake99,0.56,292,0,891,0,3,HA
100,Lake100,0.74,981,0,798,0,4,HA
101,Lake101,0.59,60,0,1101,0,3,HA
102,Lake102,0.44,161,0,4182,0,3,HA
103,Lake103,0.81,18,0,446,0,5,HA
104,Lake104,0.39,419,0,6073,0,2,HA
105,Lake105,0.46,31,0,715,0,3,HA
106,Lake106,0.42,192,0,6429,0,3,HA
107,Lake107,0.5,41,0,1100,0,3,HA
108,Lake108,0.66,42,0,652,0,4,HA
109,Lake109,0.38,154,0,1500,0,2,HA
110,Lake110,0.5,101,0,1306,0,3,HA
111,Lake111,0.34,162,0,995,0,2,HA
112,Lake112,0.78,15,0,2390,0,4,HA
113,Lake113,0.51,250,0,3551,0,3,HA
115,Lake115,0.39,49,0,1420,0,2,HA
116,Lake116,0.47,47,0,875,0,3,HA
119,Lake119,0.82,10,0,1910,0,5,MA
120,Lake120,0.59,,0,2328,0,3,HA
123,Lake123,0.64,90,0,1113,0,4,HA
124,Lake124,0.35,171,0,1169,0,2,HA
125,Lake125,0.9,75,0,3326,0,5,HA
127,Lake127,0.81,18,0,498,0,5,OR
128,Lake128,0.29,157,0,2000,0,2,OR
129,Lake129,0.58,63,0,895,0,3,OR
130,Lake130,0.47,29,0,771,0,3,MA
131,Lake131,0.77,33,0,705,0,4,OR
132,Lake132,0.28,29,1,730,0,2,LA
133,Lake133,0.74,15,0,339,0,4,LA
134,Lake134,0.55,56,0,3355,0,3,HA
135,Lake135,0.66,14,0,1700,0,4,MA
136,Lake136,0.32,68,0,5331,0,2,MA
137,Lake137,0.92,351,1,1217,0,5,HA
138,Lake138,0.77,11,0,491,0,4,MA
139,Lake139,0.72,15,0,537,0,4,MA
140,Lake140,0.43,74,0,1364,0,3,HA
141,Lake141,0.49,105,0,1086,0,3,HA
142,Lake142,0.5,103,0,1075,0,3,HA
143,Lake143,0.51,141,0,1136,0,3,HA
144,Lake144,0.58,34,0,,0,3,HA
145,Lake145,1.19,27,0,595,0,5,OR
146,Lake146,1.05,25,0,931,0,5,HA
147,Lake147,1.01,11,0,353,0,5,OR
148,Lake148,1.15,5,0,172,0,5,OR
149,Lake149,0.68,69,0,1011,0,4,OR
150,Lake150,0.63,43,0,,0,4,HA
151,Lake151,1.12,11,0,267,0,5,OR
152,Lake152,0.93,34,0,,0,5,OR
153,Lake153,1.22,35,0,,0,5,OR
154,Lake154,1.14,7,0,168,0,5,OR
155,Lake155,1.19,5,0,216,0,5,OR
156,Lake156,1.01,9,0,,0,5,OR
157,Lake157,0.82,22,0,,0,5,OR
158,Lake158,1.13,9,0,,0,5,OR
159,Lake159,1.08,9,0,,0,5,LA
160,Lake160,1.09,6,0,160,0,5,LA
161,Lake161,1.3,8,0,,0,5,LA
162,Lake162,0.71,18,0,,0,4,LA
163,Lake163,0.8,14,0,,0,5,OR
164,Lake164,1.17,4,0,142,0,5,LA
165,Lake165,1.22,4,0,,0,5,LA
166,Lake166,1.32,8,0,136,0,5,OR
167,Lake167,1.26,9,0,190,0,5,OR
169,Lake169,1.22,10,0,,0,5,OR
170,Lake170,0.34,129,0,1637,0,2,OR
171,Lake171,0.85,18,0,486,0,5,MA
172,Lake172,1.46,13,0,,0,5,OR
173,Lake173,0.81,10,0,,0,5,LA
174,Lake174,1.32,6,0,,0,5,LA
176,Lake176,1.06,8,0,311,0,5,OR
177,Lake177,1.02,6,0,217,0,5,LA
178,Lake178,1.08,9,0,249,0,5,OR
180,Lake180,1.26,15,0,,0,5,OR
181,Lake181,0.86,24,0,,0,5,OR
183,Lake183,1.19,9,0,167,0,5,LA
184,Lake184,0.99,9,0,196,0,5,OR
185,Lake185,0.68,103,0,,0,4,OR
186,Lake186,0.99,13,0,334,0,5,OR
187,Lake187,0.78,21,0,414,0,4,MA
188,Lake188,1.08,5,0,,0,5,LA
189,Lake189,1.14,5,0,170,0,5,LA
190,Lake190,1.3,11,0,284,0,5,OR
191,Lake191,1.19,6,0,152,0,5,LA
192,Lake192,0.91,22,0,,0,5,MA
193,Lake193,0.65,65,0,2391,0,4,HA
194,Lake194,1.15,6,0,216,0,5,MA
195,Lake195,1.04,9,0,252,0,5,MA
196,Lake196,0.88,47,0,,0,5,HA
197,Lake197,1.02,6,0,246,0,5,LA
198,Lake198,1.11,11,0,,0,5,OR
200,Lake200,0.98,8,0,,0,5,MA
201,Lake201,1.09,10,0,258,0,5,LA
203,Lake203,1,5,0,168,0,5,LA
204,Lake204,0.85,11,0,,0,5,LA
205,Lake205,1.1,9,0,285,0,5,LA
206,Lake206,0.48,46,0,1214,0,3,HA
207,Lake207,0.97,11,0,,0,5,LA
208,Lake208,0.72,25,0,359,0,4,MA
210,Lake210,0.78,32,0,1030,0,4,HA
211,Lake211,0.74,46,0,,0,4,HA
212,Lake212,0.7,321,0,,0,4,HA
213,Lake213,0.4,84,0,,0,3,OR
215,Lake215,0.83,27,0,493,0,5,OR
216,Lake216,1.15,22,0,,0,5,HA
217,Lake217,0.59,46,0,,0,3,MA
218,Lake218,0.98,61,0,,0,5,OR
219,Lake219,0.85,27,0,,0,5,OR
220,Lake220,0.67,97,0,,0,4,OR
221,Lake221,0.66,44,0,,0,4,OR
222,Lake222,0.96,8,0,327,0,5,MA
224,Lake224,0.79,94,0,,0,4,OR
225,Lake225,1.33,8,0,303,0,5,LA
226,Lake226,0.87,32,0,,0,5,OR
227,Lake227,0.74,13,0,425,0,4,OR
228,Lake228,0.33,62,0,,0,2,MA
229,Lake229,0.74,44,0,,0,4,OR
230,Lake230,0.91,40,0,,0,5,OR
231,Lake231,0.95,7,0,302,0,5,LA
232,Lake232,0.89,13,0,394,0,5,MA
233,Lake233,0.77,34,0,1034,0,4,OR
234,Lake234,0.68,46,0,1354,0,4,HA
235,Lake235,0.63,204,0,1089,0,4,OR
236,Lake236,0.6,139,0,1742,0,4,OR
237,Lake237,0.77,8,0,310,0,4,LA
238,Lake238,1.17,5,0,235,0,5,LA
239,Lake239,1.12,3,0,208,0,5,LA
240,Lake240,0.83,3,0,158,0,5,LA
241,Lake241,0.83,9,0,378,0,5,LA
242,Lake242,0.78,7,0,333,0,4,LA
243,Lake243,0.7,6,0,330,0,4,LA
244,Lake244,1.01,14,0,340,0,5,OR
245,Lake245,0.47,966,0,1770,0,3,OR
246,Lake246,0.86,52,0,596,0,5,OR
247,Lake247,0.72,14,0,348,0,4,LA
249,Lake249,0.75,15,0,523,0,4,LA
250,Lake250,0.89,5,0,305,0,5,LA
251,Lake251,0.81,4,0,256,0,5,LA
252,Lake252,1.11,8,0,380,0,5,OR
254,Lake254,0.93,13,0,286,0,5,LA
255,Lake255,0.74,10,0,666,0,4,LA
258,Lake258,0.98,7,0,294,0,5,OR
259,Lake259,0.81,10,0,294,0,5,LA
260,Lake260,1.03,10,0,417,0,5,LA
261,Lake261,1.06,11,0,483,0,5,OR
262,Lake262,0.96,8,0,342,0,5,OR
263,Lake263,1.03,7,0,507,0,5,LA
264,Lake264,0.52,152,0,957,0,3,HA
265,Lake265,0.71,24,0,2217,0,4,MA
266,Lake266,0.59,106,0,739,0,3,MA
267,Lake267,0.94,25,0,540,0,5,OR
268,Lake268,0.65,29,0,1342,0,4,HA
269,Lake269,0.42,24,0,557,0,3,MA
270,Lake270,0.67,29,0,647,0,4,HA
271,Lake271,0.63,102,0,2901,0,4,HA
272,Lake272,0.83,29,0,2605,0,5,HA
273,Lake273,0.79,29,0,2755,0,4,HA
